"id","name","title","year","salary","bonus","stock_awards","option_awards","RSUs","nonequity_incentive_plan_compensation","change_in_pension_value_and_nonqualified_deferred_compensation","securities_underlying_options","all_other","total","remainder","accession","cik","file_date","ind_cik","ind_id"
"313048","Timothy B. King Senior Vice President and Chief Investment Officer",,"2003","205000.00","135000.00",NULL,"24000.00",NULL,NULL,NULL,NULL,"142104.00","506104.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0001193125-04-061104-index.html","1005409","2004-04-13","1237122",NULL
"313049","Timothy B. King Senior Vice President and Chief Investment Officer",,"2002","192500.00","100000.00",NULL,NULL,NULL,NULL,NULL,NULL,"156016.00","448516.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0001193125-04-061104-index.html","1005409","2004-04-13","1237122",NULL
"313050","Timothy B. King Senior Vice President and Chief Investment Officer",,"2001","170000.00","65000.00",NULL,"18000.00",NULL,NULL,NULL,NULL,"128344.00","381344.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0001193125-04-061104-index.html","1005409","2004-04-13","1237122",NULL
"313051","Michael Pucella Senior Vice President -Finance",,"2003","200000.00","110000.00",NULL,"20250.00",NULL,NULL,NULL,NULL,"199184.00","529434.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0001193125-04-061104-index.html","1005409","2004-04-13","1237123",NULL
"313052","Michael Pucella Senior Vice President -Finance",,"2002","190000.00","85000.00",NULL,NULL,NULL,NULL,NULL,NULL,"113219.00","388219.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0001193125-04-061104-index.html","1005409","2004-04-13","1237123",NULL
"313053","Michael Pucella Senior Vice President -Finance",,"2001","170000.00","65000.00",NULL,"18000.00",NULL,NULL,NULL,NULL,"157189.00","410189.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0001193125-04-061104-index.html","1005409","2004-04-13","1237123",NULL
"369512","Walter F. Ulloa Chairman and Chief Executive Officer",,"2003","710417.00","225000.00",NULL,NULL,NULL,NULL,NULL,"125000.00",NULL,"1060417.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0001193125-04-066303-index.html","1109116","2004-04-21","1159952",NULL
"369513","Walter F. Ulloa Chairman and Chief Executive Officer",,"2002","692167.00",NULL,NULL,NULL,NULL,NULL,NULL,"250000.00",NULL,"942167.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0001193125-04-066303-index.html","1109116","2004-04-21","1159952",NULL
"369514","Walter F. Ulloa Chairman and Chief Executive Officer",,"2001","620833.00","833260.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1454093.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0001193125-04-066303-index.html","1109116","2004-04-21","1159952",NULL
"369515","Philip C. Wilkinson President and Chief Operating Officer",,"2003","710417.00","225500.00",NULL,NULL,NULL,NULL,NULL,"125000.00",NULL,"1060917.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0001193125-04-066303-index.html","1109116","2004-04-21","1159949",NULL
"369516","Philip C. Wilkinson President and Chief Operating Officer",,"2002","692167.00",NULL,NULL,NULL,NULL,NULL,NULL,"250000.00",NULL,"942167.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0001193125-04-066303-index.html","1109116","2004-04-21","1159949",NULL
"369517","Philip C. Wilkinson President and Chief Operating Officer",,"2001","620833.00","833260.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1454093.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0001193125-04-066303-index.html","1109116","2004-04-21","1159949",NULL
"369518","John F. DeLorenzo- Chief Financial Officer",,"2003","360000.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"360000.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0001193125-04-066303-index.html","1109116","2004-04-21","1245884",NULL
"369519","John F. DeLorenzo- Chief Financial Officer",,"2002","30000.00",NULL,NULL,NULL,NULL,NULL,NULL,"150000.00",NULL,"180000.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0001193125-04-066303-index.html","1109116","2004-04-21","1245884",NULL
"369520","John F. DeLorenzo- Chief Financial Officer",,"2001",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"www.sec.gov/Archives/edgar/data/852254/0001193125-04-066303-index.html","1109116","2004-04-21","1245884",NULL
"369521","Jeffery A. Liberman- President Radio Division",,"2003","330000.00","100000.00",NULL,NULL,NULL,NULL,NULL,"50000.00",NULL,"480000.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0001193125-04-066303-index.html","1109116","2004-04-21","1245884",NULL
"369522","Jeffery A. Liberman- President Radio Division",,"2002","300000.00",NULL,NULL,NULL,NULL,NULL,NULL,"75000.00",NULL,"375000.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0001193125-04-066303-index.html","1109116","2004-04-21","1245884",NULL
"369523","Jeffery A. Liberman- President Radio Division",,"2001","275000.00","112500.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"387500.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0001193125-04-066303-index.html","1109116","2004-04-21","1245884",NULL
"369524","Glenn Emanuel President Outdoor Division",,"2003","251250.00","10000.00",NULL,NULL,NULL,NULL,NULL,"20000.00",NULL,"281250.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0001193125-04-066303-index.html","1109116","2004-04-21","1245886",NULL
"369525","Glenn Emanuel President Outdoor Division",,"2002","225000.00",NULL,NULL,NULL,NULL,NULL,NULL,"75000.00",NULL,"300000.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0001193125-04-066303-index.html","1109116","2004-04-21","1245886",NULL
"369526","Glenn Emanuel President Outdoor Division",,"2001","225000.00","75000.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"300000.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0001193125-04-066303-index.html","1109116","2004-04-21","1245886",NULL
"176030","Masood K. Tayebi Ph.D.","Chief Executive Officer","2003","267684.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"267684.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0001193125-04-069714-index.html","1069258","2004-04-26","1106956",NULL
"176031","Masood K. Tayebi Ph.D.","Chief Executive Officer","2002","3250.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"3250.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0001193125-04-069714-index.html","1069258","2004-04-26","1106956",NULL
"176032","Masood K. Tayebi Ph.D.","Chief Executive Officer","2001","54168.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"54168.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0001193125-04-069714-index.html","1069258","2004-04-26","1106956",NULL
"176033","Terry Ashwill","Executive VP and Chief Financial Officer","2003","237838.00",NULL,NULL,NULL,NULL,NULL,NULL,"60000.00","2020519.00","2318357.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0001193125-04-069714-index.html","1069258","2004-04-26","1245311",NULL
"176034","Terry Ashwill","Executive VP and Chief Financial Officer","2002","200942.00",NULL,NULL,NULL,NULL,NULL,NULL,"191944.00","349411.00","742297.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0001193125-04-069714-index.html","1069258","2004-04-26","1245311",NULL
"176035","Terry Ashwill","Executive VP and Chief Financial Officer","2001","202692.00","54486.00",NULL,NULL,NULL,NULL,NULL,"310000.00","470805.00","1037983.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0001193125-04-069714-index.html","1069258","2004-04-26","1245311",NULL
"176036","Frankie Farjood","Executive VP and President of Enterprise Network Services","2003","222442.00",NULL,NULL,NULL,NULL,NULL,NULL,"80000.00","872949.00","1175391.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0001193125-04-069714-index.html","1069258","2004-04-26","1257919",NULL
"176037","Frankie Farjood","Executive VP and President of Enterprise Network Services","2002","143653.00",NULL,NULL,NULL,NULL,NULL,NULL,"112000.00",NULL,"255653.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0001193125-04-069714-index.html","1069258","2004-04-26","1257919",NULL
"176038","Frankie Farjood","Executive VP and President of Enterprise Network Services","2001","159231.00","7686.00",NULL,NULL,NULL,NULL,NULL,"145000.00",NULL,"311917.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0001193125-04-069714-index.html","1069258","2004-04-26","1257919",NULL
"176039","Farzad Ghassemi","Executive VP and President of Wireless Network Solutions","2003","221558.00",NULL,NULL,NULL,NULL,NULL,NULL,"80000.00","1182233.00","1483791.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0001193125-04-069714-index.html","1069258","2004-04-26","1257922",NULL
"176040","Farzad Ghassemi","Executive VP and President of Wireless Network Solutions","2002","110192.00",NULL,NULL,NULL,NULL,NULL,NULL,"104000.00",NULL,"214192.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0001193125-04-069714-index.html","1069258","2004-04-26","1257922",NULL
"176041","Farzad Ghassemi","Executive VP and President of Wireless Network Solutions","2001","132302.00","61633.00",NULL,NULL,NULL,NULL,NULL,"130591.00",NULL,"324526.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0001193125-04-069714-index.html","1069258","2004-04-26","1257922",NULL
"176042","Gregory Jacobsen","Executive VP, Operations & Maintenance, Business Development and Sales","2003","214596.00",NULL,NULL,NULL,NULL,NULL,NULL,"60000.00","478200.00","752796.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0001193125-04-069714-index.html","1069258","2004-04-26","1257921",NULL
"176043","Gregory Jacobsen","Executive VP, Operations & Maintenance, Business Development and Sales","2002","120000.00",NULL,NULL,NULL,NULL,NULL,NULL,"200000.00",NULL,"320000.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0001193125-04-069714-index.html","1069258","2004-04-26","1257921",NULL
"176044","Gregory Jacobsen","Executive VP, Operations & Maintenance, Business Development and Sales","2001",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"www.sec.gov/Archives/edgar/data/852254/0001193125-04-069714-index.html","1069258","2004-04-26","1257921",NULL
"217385","R. Brad Martin Chairman of the Board and Chief Executive Officer CEO",,"2003","1050000.00","1077500.00",NULL,NULL,"651000.00",NULL,NULL,NULL,"105212.00","2883712.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0001193125-04-071517-index.html","812900","2004-04-28","1186888",NULL
"217386","R. Brad Martin Chairman of the Board and Chief Executive Officer CEO",,"2002","1000000.00","815000.00",NULL,NULL,"529303.00",NULL,NULL,"69440.00","2550.00","2416293.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0001193125-04-071517-index.html","812900","2004-04-28","1186888",NULL
"217387","R. Brad Martin Chairman of the Board and Chief Executive Officer CEO",,"2001","962500.00",NULL,NULL,NULL,"3238750.00",NULL,NULL,"465970.00","137100.00","4804320.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0001193125-04-071517-index.html","812900","2004-04-28","1186888",NULL
"217388","Stephen I. Sadove Vice Chairman and Chief Operating Officer COO",,"2003","980000.00","739214.00",NULL,NULL,NULL,NULL,NULL,NULL,"29183.00","1748397.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0001193125-04-071517-index.html","812900","2004-04-28","1186892",NULL
"217389","Stephen I. Sadove Vice Chairman and Chief Operating Officer COO",,"2002","980000.00","531650.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1511650.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0001193125-04-071517-index.html","812900","2004-04-28","1186892",NULL
"217390","Stephen I. Sadove Vice Chairman and Chief Operating Officer COO",,"2001","67218.00",NULL,NULL,NULL,"5025000.00",NULL,NULL,"1500000.00",NULL,"6592218.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0001193125-04-071517-index.html","812900","2004-04-28","1186892",NULL
"217391","George L. Jones President and CEO of Saks Department Store Group",,"2003","900000.00","700000.00",NULL,NULL,NULL,NULL,NULL,"250000.00","31695.00","1881695.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0001193125-04-071517-index.html","812900","2004-04-28","1186886",NULL
"217392","George L. Jones President and CEO of Saks Department Store Group",,"2002","900000.00","700000.00",NULL,NULL,NULL,NULL,NULL,"400000.00","16692.00","2016692.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0001193125-04-071517-index.html","812900","2004-04-28","1186886",NULL
"217393","George L. Jones President and CEO of Saks Department Store Group",,"2001","828462.00","900000.00",NULL,NULL,"1190000.00",NULL,NULL,"1000000.00",NULL,"3918462.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0001193125-04-071517-index.html","812900","2004-04-28","1186886",NULL
"217394","James A. Coggin President and Chief Administrative Officer",,"2003","800000.00","431040.00",NULL,NULL,NULL,NULL,NULL,"158362.00","595815.00","1985217.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0001193125-04-071517-index.html","812900","2004-04-28","1186878",NULL
"217395","James A. Coggin President and Chief Administrative Officer",,"2002","800000.00","248000.00",NULL,NULL,"449500.00",NULL,NULL,"44440.00","2550.00","1544490.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0001193125-04-071517-index.html","812900","2004-04-28","1186878",NULL
"217396","James A. Coggin President and Chief Administrative Officer",,"2001","787500.00","105000.00",NULL,NULL,NULL,NULL,NULL,"41670.00","2400.00","936570.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0001193125-04-071517-index.html","812900","2004-04-28","1186878",NULL
"217397","Douglas E. Coltharp Executive Vice President and Chief Financial Officer",,"2003","550000.00","237050.00",NULL,NULL,NULL,NULL,NULL,"84997.00","556488.00","1427423.00","-1112.00","www.sec.gov/Archives/edgar/data/852254/0001193125-04-071517-index.html","812900","2004-04-28","1186879",NULL
"217398","Douglas E. Coltharp Executive Vice President and Chief Financial Officer",,"2002","550000.00","150000.00",NULL,NULL,"899000.00",NULL,NULL,"150826.00","2550.00","1752376.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0001193125-04-071517-index.html","812900","2004-04-28","1186879",NULL
"217399","Douglas E. Coltharp Executive Vice President and Chief Financial Officer",,"2001","515000.00","61875.00",NULL,NULL,NULL,NULL,NULL,"71259.00","2400.00","650534.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0001193125-04-071517-index.html","812900","2004-04-28","1186879",NULL
"221315","Ronald Kaplan","President and Chief Executive Officer","2003","130000.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"16150.00","146150.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0001193125-04-073316-index.html","747435","2004-04-29","1100344",NULL
"221316","Ronald Kaplan","President and Chief Executive Officer","2002","130000.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"6000.00","136000.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0001193125-04-073316-index.html","747435","2004-04-29","1100344",NULL
"221317","Ronald Kaplan","President and Chief Executive Officer","2001","130000.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"6000.00","136000.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0001193125-04-073316-index.html","747435","2004-04-29","1100344",NULL
"221318","Robert Burrows 2","Chief Financial Officer and Secretary","2003","108800.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"108800.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0001193125-04-073316-index.html","747435","2004-04-29","1239287",NULL
"221319","Robert Burrows 2","Chief Financial Officer and Secretary","2002","110000.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"110000.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0001193125-04-073316-index.html","747435","2004-04-29","1239287",NULL
"221320","Robert Burrows 2","Chief Financial Officer and Secretary","2001","50800.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"50800.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0001193125-04-073316-index.html","747435","2004-04-29","1239287",NULL
"450305","Dr. Roger Harrison",,"2003","275000.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"18000.00","293000.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0001193125-04-085757-index.html","1016169","2004-05-12",NULL,NULL
"450306","Dr. Roger Harrison",,"2002","275000.00",NULL,NULL,"5625.00","155000.00",NULL,NULL,NULL,"18000.00","453625.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0001193125-04-085757-index.html","1016169","2004-05-12",NULL,NULL
"450307","Dr. Roger Harrison",,"2001","221939.00",NULL,NULL,NULL,"186000.00",NULL,NULL,NULL,"14250.00","422189.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0001193125-04-085757-index.html","1016169","2004-05-12",NULL,NULL
"450308","Lawrence Christian",,"2003","145600.00",NULL,NULL,"125000.00",NULL,NULL,NULL,NULL,NULL,"270600.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0001193125-04-085757-index.html","1016169","2004-05-12","1187363",NULL
"450309","Lawrence Christian",,"2002","145600.00",NULL,NULL,"7500.00",NULL,NULL,NULL,NULL,NULL,"153100.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0001193125-04-085757-index.html","1016169","2004-05-12","1187363",NULL
"450310","Lawrence Christian",,"2001","140655.00","17000.00",NULL,"20000.00",NULL,NULL,NULL,NULL,NULL,"177655.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0001193125-04-085757-index.html","1016169","2004-05-12","1187363",NULL
"450311","Dr. Dario Carrara Managing",,"2003","179000.00",NULL,NULL,"125000.00",NULL,NULL,NULL,NULL,"124000.00","428000.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0001193125-04-085757-index.html","1016169","2004-05-12","1187498",NULL
"450312","Dr. Dario Carrara Managing",,"2002","160500.00",NULL,NULL,"7500.00",NULL,NULL,NULL,NULL,"100100.00","268100.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0001193125-04-085757-index.html","1016169","2004-05-12","1187498",NULL
"450313","Dr. Dario Carrara Managing",,"2001","123456.00","9037.00",NULL,"60000.00",NULL,NULL,NULL,NULL,"57157.00","249650.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0001193125-04-085757-index.html","1016169","2004-05-12","1187498",NULL
"450314","Dr.Peter Sadowski Chief",,"2003","156000.00",NULL,NULL,"125000.00",NULL,NULL,NULL,NULL,"5400.00","286400.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0001193125-04-085757-index.html","1016169","2004-05-12","1187592",NULL
"450315","Dr.Peter Sadowski Chief",,"2002","156000.00",NULL,NULL,"7500.00",NULL,NULL,NULL,NULL,"5400.00","168900.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0001193125-04-085757-index.html","1016169","2004-05-12","1187592",NULL
"450316","Dr.Peter Sadowski Chief",,"2001","150000.00","17000.00",NULL,"50000.00",NULL,NULL,NULL,NULL,"5400.00","222400.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0001193125-04-085757-index.html","1016169","2004-05-12","1187592",NULL
"386893","James S. Marlen Chairman President & Chief Executive Officer",,"2003","727745.00","1350000.00",NULL,NULL,NULL,NULL,NULL,NULL,"31407.00","2523098.00","413946.00","www.sec.gov/Archives/edgar/data/852254/0001206774-04-000089-index.html","790730","2004-02-23","1200109",NULL
"386894","James S. Marlen Chairman President & Chief Executive Officer",,"2002","696115.00","995000.00",NULL,NULL,"1503480.00",NULL,NULL,NULL,"15295.00","3782331.00","572441.00","www.sec.gov/Archives/edgar/data/852254/0001206774-04-000089-index.html","790730","2004-02-23","1200109",NULL
"386895","James S. Marlen Chairman President & Chief Executive Officer",,"2001","660055.00","800000.00",NULL,NULL,NULL,NULL,NULL,"100000.00","29247.00","2269302.00","680000.00","www.sec.gov/Archives/edgar/data/852254/0001206774-04-000089-index.html","790730","2004-02-23","1200109",NULL
"386896","Javier Solis Senior Vice President Administration Secretary and General Counsel",,"2003","279132.00","407000.00",NULL,NULL,NULL,NULL,NULL,NULL,"12803.00","792867.00","93932.00","www.sec.gov/Archives/edgar/data/852254/0001206774-04-000089-index.html","790730","2004-02-23","1188818",NULL
"386897","Javier Solis Senior Vice President Administration Secretary and General Counsel",,"2002","265753.00","300000.00",NULL,NULL,"410040.00",NULL,NULL,NULL,"8027.00","1113702.00","129882.00","www.sec.gov/Archives/edgar/data/852254/0001206774-04-000089-index.html","790730","2004-02-23","1188818",NULL
"386898","Javier Solis Senior Vice President Administration Secretary and General Counsel",,"2001","241603.00","245000.00",NULL,NULL,NULL,NULL,NULL,"20000.00","12669.00","666272.00","147000.00","www.sec.gov/Archives/edgar/data/852254/0001206774-04-000089-index.html","790730","2004-02-23","1188818",NULL
"386899","Gary Wagner Senior Vice President Chief Financial Officer",,"2003","279132.00","407000.00",NULL,NULL,NULL,NULL,NULL,NULL,"12987.00","793051.00","93932.00","www.sec.gov/Archives/edgar/data/852254/0001206774-04-000089-index.html","790730","2004-02-23","1188815",NULL
"386900","Gary Wagner Senior Vice President Chief Financial Officer",,"2002","265753.00","300000.00",NULL,NULL,"410040.00",NULL,NULL,NULL,"4982.00","1110657.00","129882.00","www.sec.gov/Archives/edgar/data/852254/0001206774-04-000089-index.html","790730","2004-02-23","1188815",NULL
"386901","Gary Wagner Senior Vice President Chief Financial Officer",,"2001","241603.00","245000.00",NULL,NULL,NULL,NULL,NULL,"20000.00","6758.00","660361.00","147000.00","www.sec.gov/Archives/edgar/data/852254/0001206774-04-000089-index.html","790730","2004-02-23","1188815",NULL
"386902","Thomas P. Giese Vice President; Group President Water Transmission Group",,"2003","233301.00","225000.00",NULL,NULL,NULL,NULL,NULL,NULL,"11844.00","574885.00","104740.00","www.sec.gov/Archives/edgar/data/852254/0001206774-04-000089-index.html","790730","2004-02-23","1188822",NULL
"386903","Thomas P. Giese Vice President; Group President Water Transmission Group",,"2002","223615.00","200000.00",NULL,NULL,"410040.00",NULL,NULL,NULL,"6481.00","984449.00","144313.00","www.sec.gov/Archives/edgar/data/852254/0001206774-04-000089-index.html","790730","2004-02-23","1188822",NULL
"386904","Thomas P. Giese Vice President; Group President Water Transmission Group",,"2001","208301.00","200000.00",NULL,NULL,NULL,NULL,NULL,NULL,"7895.00","584196.00","168000.00","www.sec.gov/Archives/edgar/data/852254/0001206774-04-000089-index.html","790730","2004-02-23","1188822",NULL
"386905","Thomas P. Giese Vice President; Group President Water Transmission Group",,"2002","167575.00","75000.00",NULL,NULL,NULL,NULL,NULL,NULL,"5561.00","248136.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0001206774-04-000089-index.html","790730","2004-02-23","1188822",NULL
"386906","Thomas P. Giese Vice President; Group President Water Transmission Group",,"2001","147452.00","65000.00",NULL,NULL,NULL,NULL,NULL,NULL,"57119.00","269571.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0001206774-04-000089-index.html","790730","2004-02-23","1188822",NULL
"231803","Douglas L. Becker","Chairman of the Board and Chief Executive Officer","2003","425000.00","531250.00",NULL,NULL,NULL,NULL,NULL,NULL,"201680.00","1157930.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0001206774-04-000428-index.html","912766","2004-04-29","1072473",NULL
"231804","Douglas L. Becker","Chairman of the Board and Chief Executive Officer","2002","425000.00","385000.00",NULL,NULL,NULL,NULL,NULL,NULL,"1716105.00","2526105.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0001206774-04-000428-index.html","912766","2004-04-29","1072473",NULL
"231805","Douglas L. Becker","Chairman of the Board and Chief Executive Officer","2001","385000.00","315000.00",NULL,"100000.00",NULL,NULL,NULL,NULL,"1633651.00","2433651.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0001206774-04-000428-index.html","912766","2004-04-29","1072473",NULL
"231806","Raph Appadoo","President","2003","400000.00","281000.00",NULL,NULL,"1109405.00",NULL,NULL,NULL,"13600.00","1804005.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0001206774-04-000428-index.html","912766","2004-04-29","1242910",NULL
"231807","Raph Appadoo","President","2002","262500.00","250000.00",NULL,NULL,NULL,NULL,NULL,NULL,"10636.00","523136.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0001206774-04-000428-index.html","912766","2004-04-29","1242910",NULL
"231808","Raph Appadoo","President","2001","250000.00","187500.00",NULL,NULL,NULL,NULL,NULL,NULL,"16552.00","454052.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0001206774-04-000428-index.html","912766","2004-04-29","1242910",NULL
"231809","William Dennis","President, Latin America Operations","2003","375000.00","340000.00",NULL,"120000.00","1613600.00",NULL,NULL,NULL,"396500.00","2845100.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0001206774-04-000428-index.html","912766","2004-04-29","1058707",NULL
"231810","William Dennis","President, Latin America Operations","2002","243000.00","290000.00",NULL,"3.40",NULL,NULL,NULL,NULL,"51872.00","584875.40",NULL,"www.sec.gov/Archives/edgar/data/852254/0001206774-04-000428-index.html","912766","2004-04-29","1058707",NULL
"231811","William Dennis","President, Latin America Operations","2001","52067.00",NULL,NULL,"10.12",NULL,NULL,NULL,NULL,"2980.00","55057.12",NULL,"www.sec.gov/Archives/edgar/data/852254/0001206774-04-000428-index.html","912766","2004-04-29","1058707",NULL
"231812","Paula R. Singer","President and Chief Executive Officer - Online Higher Education","2003","270000.00","180000.00",NULL,"30000.00","526200.00",NULL,NULL,NULL,"6600.00","1012800.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0001206774-04-000428-index.html","912766","2004-04-29","1242918",NULL
"231813","Paula R. Singer","President and Chief Executive Officer - Online Higher Education","2002","237837.00","78750.00",NULL,NULL,NULL,NULL,NULL,NULL,"324677.00","641264.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0001206774-04-000428-index.html","912766","2004-04-29","1242918",NULL
"231814","Paula R. Singer","President and Chief Executive Officer - Online Higher Education","2001","223750.00","105000.00",NULL,NULL,NULL,NULL,NULL,NULL,"11740.00","340490.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0001206774-04-000428-index.html","912766","2004-04-29","1242918",NULL
"231815","Sean R. Creamer","Senior Vice President and Chief Financial Officer","2003","265000.00","243375.00",NULL,"30000.00","350800.00",NULL,NULL,NULL,"909275.00","1798450.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0001206774-04-000428-index.html","912766","2004-04-29","1242911",NULL
"231816","Sean R. Creamer","Senior Vice President and Chief Financial Officer","2002","238333.00","121800.00",NULL,NULL,NULL,NULL,NULL,NULL,"12100.00","372233.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0001206774-04-000428-index.html","912766","2004-04-29","1242911",NULL
"231817","Sean R. Creamer","Senior Vice President and Chief Financial Officer","2001","191667.00","152800.00",NULL,"50000.00",NULL,NULL,NULL,NULL,"11850.00","406317.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0001206774-04-000428-index.html","912766","2004-04-29","1242911",NULL
"231818","B. Lee McGee","Executive Vice President","2003","250000.00","75000.00",NULL,NULL,NULL,NULL,NULL,NULL,"1889340.00","2214340.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0001206774-04-000428-index.html","912766","2004-04-29","1242915",NULL
"231819","B. Lee McGee","Executive Vice President","2002","250360.00","75000.00",NULL,NULL,NULL,NULL,NULL,NULL,"799583.00","1124943.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0001206774-04-000428-index.html","912766","2004-04-29","1242915",NULL
"231820","B. Lee McGee","Executive Vice President","2001","250000.00","250000.00",NULL,NULL,NULL,NULL,NULL,NULL,"268800.00","768800.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0001206774-04-000428-index.html","912766","2004-04-29","1242915",NULL
"583104","Jan Wallace","President,","2003","217800.00","0.00",NULL,"0.00","0.00",NULL,NULL,NULL,"0.00","217800.00","0.00","www.sec.gov/Archives/edgar/data/852254/0001255294-04-000137-index.html","1059577","2004-04-28","1286757",NULL
